question,url,answer,labeler,answer2,labeler2
What CS program aims to support students from diverse backgrounds?,https://eecs.berkeley.edu/cs-scholars/,CS Scholars,Evan,CS Scholars,-
Who is the faculty advisor of CS Scholars?,https://eecs.berkeley.edu/cs-scholars/,Armando Fox,Evan,Armando Fox,-
Who is the program director of CS Scholars?,https://eecs.berkeley.edu/cs-scholars/,Charlene Duncan,Evan,Charlene Duncan,-
How many colleges did UC Berkeley have at its founding?,https://eecs.berkeley.edu/about/history/,6,Evan,Six colleges,-
What is the full name of the person who Cory Hall is named after?,https://eecs.berkeley.edu/about/history/,Clarence Linus Corey,Evan,Linus Cory,-
When was the EECS department founded?,https://eecs.berkeley.edu/about/history/,1973,Evan,1973,-
Which Berkeley alum founded Xerox PARC?,https://eecs.berkeley.edu/about/history/,Butler Lampson,Evan,Butler Lampson,-
Who was the winner of the 1989 Turing Award?,https://eecs.berkeley.edu/about/history/,William Kahan,Evan,William Kahan,-
Who was the first tenured Black professor at Berkeley?,https://eecs.berkeley.edu/about/history/gier/,Joseph Thomas Gier,Evan,Joseph Thomas Gier,-
Who was the first Black full professor at Berkeley?,https://eecs.berkeley.edu/about/history/gier/,David Blackwell,Evan,David Blackwell,
Which office did Gier hold during his time as a lecturer?,https://eecs.berkeley.edu/about/history/gier/,73 Cory Hall,Evan,73 Cory Hall,
"Has any person at Berkeley won the APA ""Man of the Year"" award?",https://eecs.berkeley.edu/about/history/gier/,"Yes, Gier did",Evan,Yes — Joseph Thomas Gier won it in 1950,
What year was electrical engineering introduced at Berkeley as a field?,https://eecs.berkeley.edu/about/history/first-women/,1893,Evan,1893,
How many patents was Kawthar Abdelhamid Zaki awarded?,https://eecs.berkeley.edu/about/history/first-women/,six,Evan,Six,
Where did Susan Graham go to undergrad?,https://eecs.berkeley.edu/about/history/first-women/,Harvard,Evan,Harvard,
Did Urban Scan Inc. IPO?,https://eecs.berkeley.edu/about/history/first-women/,No,Evan,No,
Who was the dean of the College of Engineering in 2018?,https://eecs.berkeley.edu/about/history/first-women/,Tsu-Jae King Liu,Evan,Tsu-Jae King Liu,
Who was the first female faculty member in CS at Berkeley?,https://eecs.berkeley.edu/about/history/a-relatively-recent-history-women-doctoral-graduates-in-electrical-engineering-and-computer-sciences-1969-1981/,Susan Lois Graham,Evan,Susan Graham,
What is WiSE?,https://eecs.berkeley.edu/academics/prospective-women/,Women in Science Engineering,Evan,Women in Science Engineering (WiSE) Residence Theme Program,
The FAST program is looking for new mentors for a pilot with students of which city?,https://eecs.berkeley.edu/resources/students/bpe/,Oakland,Evan,Oakland,
Members of which groups qualify for application fee waivers to the Graduate Division?,https://eecs.berkeley.edu/resources/students/bpe/,"NSBE, AISES, SACNAS, GEM",Evan,"NSBE, AISES, SACNAS, and GEM",
When will admissions open for the Equal Access to Application Assistance Program?,https://eecs.berkeley.edu/resources/students/bpe/,Fall 2022,Evan,Early Fall 2022,
What was the EECS Anti-Racism Committee formed in response to?,https://eecs.berkeley.edu/resources/students/bpe/,Black Graduate Engineering and Science Students (BGESS),Evan,The Black Graduate Engineering and Science Students (BGESS) Letters of Accommodations presented in June 2020,
